probe_id,gene_symbol,gene_display,mean_abs_shap
218735_s_at,ZNF544,ZNF544 (218735_s_at),0.00045173766671813487
221893_s_at,ADCK2,ADCK2 (221893_s_at),0.0004508926593270736
221495_s_at,TCF25,TCF25 (221495_s_at),0.0004505478674159372
36711_at,MAFF,MAFF (36711_at),0.0004495278778193614
226391_at,BRAF,BRAF (226391_at),0.00044738956555834573
208621_s_at,EZR,EZR (208621_s_at),0.00044536785483760696
242377_x_at,THUMPD3,THUMPD3 (242377_x_at),0.0004443558659463199
233842_x_at,RTFDC1,RTFDC1 (233842_x_at),0.0004426967400979398
218080_x_at,FAF1,FAF1 (218080_x_at),0.00044182923773374076
237768_x_at,,237768_x_at,0.00043984296499387026
217939_s_at,AFTPH,AFTPH (217939_s_at),0.0004382786653704008
204324_s_at,GOLIM4,GOLIM4 (204324_s_at),0.00043701977035310365
221598_s_at,MED27,MED27 (221598_s_at),0.00043423983051084955
200082_s_at,RPS7,RPS7 (200082_s_at),0.0004334763908898952
225001_at,RAB3D,RAB3D (225001_at),0.000431993618029769
219543_at,PBLD,PBLD (219543_at),0.0004295561168376652
242573_at,,242573_at,0.00042927514738865983
1554447_at,JPX,JPX (1554447_at),0.00042883710908150837
223211_at,HACL1,HACL1 (223211_at),0.0004268885682100786
