gene,gene_symbol,gene_label,mean_abs_shap
227847_at,EPM2AIP1,EPM2AIP1,0.0009452037764612
222264_at,HNRNPUL2,HNRNPUL2,0.0009442217606346
1559391_s_at,,1559391_s_at,0.0009439193319844
200697_at,HK1,HK1,0.0009376255425698
200843_s_at,EPRS,EPRS,0.0009338329963588
204465_s_at,INA,INA,0.0009310507253081
204229_at,SLC17A7,SLC17A7,0.0009305431746538
201174_s_at,TERF2IP,TERF2IP,0.0009237545342562
206118_at,STAT4,STAT4,0.0009109176514574
234788_x_at,,234788_x_at,0.0009037554727964
225446_at,BRWD1,BRWD1,0.0009018049617077
201648_at,JAK1,JAK1,0.0008973500923895
223193_x_at,FAM162A,FAM162A,0.0008934088827038
212581_x_at,GAPDH,GAPDH,0.0008927674554939
237475_x_at,CCDC152,CCDC152,0.000891781635592
200758_s_at,NFE2L1,NFE2L1,0.000891226846978
201892_s_at,IMPDH2,IMPDH2,0.0008902303356023
244292_at,,244292_at,0.0008888123122111
202320_at,GTF3C1,GTF3C1,0.0008825538058061
223189_x_at,KMT2E,KMT2E,0.0008780071337889
225699_at,LOC101928927|SNHG15|SNORA9,LOC101928927|SNHG15|SNORA9,0.0008705496785789
222530_s_at,MKKS,MKKS,0.000864621444666
200975_at,PPT1,PPT1,0.0008641428380269
210792_x_at,SIVA1,SIVA1,0.0008537184082807
208643_s_at,XRCC5,XRCC5,0.0008495560119346
217738_at,NAMPT,NAMPT,0.0008439308695303
220113_x_at,POLR1B,POLR1B,0.0008406986376872
227404_s_at,EGR1,EGR1,0.0008394355976907
212162_at,KIDINS220,KIDINS220,0.0008389768228682
1556244_s_at,LOC375196,LOC375196,0.0008318706931514
219833_s_at,EFHC1,EFHC1,0.0008309567230156
202712_s_at,CKMT1A|CKMT1B,CKMT1A|CKMT1B,0.0008296846194971
237937_x_at,,237937_x_at,0.0008283420717229
233350_s_at,TEX264,TEX264,0.0008275837804839
221449_s_at,ITFG1,ITFG1,0.0008258411459953
237106_at,SLC11A2,SLC11A2,0.0008197821283622
241216_at,,241216_at,0.0008196667955761
211500_at,MAPK11,MAPK11,0.0008177648015846
224879_at,TMEM261,TMEM261,0.0008167059178091
240018_at,,240018_at,0.0008161804693612
210460_s_at,PSMD4,PSMD4,0.000815959965051
211679_x_at,GABBR2,GABBR2,0.0008142123437415
224509_s_at,RTN4IP1,RTN4IP1,0.0008106233461377
201145_at,HAX1,HAX1,0.0008045438192988
225330_at,IGF1R,IGF1R,0.0008040537051637
210461_s_at,ABLIM1,ABLIM1,0.000777511065984
217860_at,NDUFA10,NDUFA10,0.0007746302013219
240521_at,,240521_at,0.0007645623915337
202852_s_at,AAGAB,AAGAB,0.0007592636771992
202477_s_at,TUBGCP2,TUBGCP2,0.0007508092425453
200001_at,CAPNS1,CAPNS1,0.000743591903411
211047_x_at,AP2S1,AP2S1,0.0007401272374095
201758_at,TSG101,TSG101,0.0007374863154023
202893_at,UNC13B,UNC13B,0.0007357996417441
204745_x_at,MT1G,MT1G,0.0007337180003145
234969_s_at,EPC1,EPC1,0.0007237050879915
206826_at,PMP2,PMP2,0.0007218573966103
226912_at,ZDHHC23,ZDHHC23,0.0007197507696291
212850_s_at,LRP4,LRP4,0.0007195693871819
232551_at,SLC26A6,SLC26A6,0.0007154918196425
202501_at,MAPRE2,MAPRE2,0.0007103303329059
202145_at,LY6E,LY6E,0.0007095811819948
225741_at,THUMPD3,THUMPD3,0.000708759874551
203816_at,DGUOK,DGUOK,0.0007069493446576
224594_x_at,ACTB,ACTB,0.0007046937781447
209161_at,PRPF4,PRPF4,0.0007013803589402
211715_s_at,BDH1,BDH1,0.0006923272545304
210640_s_at,GPER1,GPER1,0.0006903861083795
200960_x_at,CLTA,CLTA,0.000685111454418
219343_at,CDC37L1,CDC37L1,0.0006816313590223
200068_s_at,CANX,CANX,0.0006800672086292
215269_at,TRAPPC10,TRAPPC10,0.0006795343791208
201255_x_at,BAG6,BAG6,0.0006793440263453
217482_at,,217482_at,0.0006785507482278
212832_s_at,CKAP5,CKAP5,0.0006767567052004
205690_s_at,BUD31,BUD31,0.0006744375449635
223037_at,PDZD11,PDZD11,0.0006737249111178
212178_s_at,POM121C,POM121C,0.0006641307595778
222785_x_at,C11orf1,C11orf1,0.0006628143477148
237040_at,CWF19L2,CWF19L2,0.0006597484194102
213555_at,RWDD2A,RWDD2A,0.0006552882772666
230656_s_at,CIRH1A,CIRH1A,0.0006480258212379
200625_s_at,CAP1,CAP1,0.0006425568844579
1559060_a_at,FNIP1,FNIP1,0.0006406882644121
209953_s_at,CDC37,CDC37,0.0006363774156946
220488_s_at,BCAS3,BCAS3,0.0006325617026653
233031_at,ZEB2,ZEB2,0.0006322769615382
225061_at,DNAJA4,DNAJA4,0.0006311666420894
229606_at,,229606_at,0.000625968138268
218763_at,STX18,STX18,0.0006240356284593
1555982_at,ZFYVE16,ZFYVE16,0.0006217670659506
224227_s_at,BDP1,BDP1,0.0006196965079747
242611_at,,242611_at,0.0006192652597691
240971_x_at,,240971_x_at,0.0006181493684544
214762_at,ATP6V1G2,ATP6V1G2,0.0006169616626268
214682_at,PKD1P1,PKD1P1,0.0006141282144074
1559375_s_at,RP11-194N12.2,RP11-194N12.2,0.0006133798983894
209192_x_at,KAT5,KAT5,0.0006052585204028
204786_s_at,IFNAR2,IFNAR2,0.0006017229081482
204338_s_at,RGS4,RGS4,0.0005985971791736
223002_s_at,XRN2,XRN2,0.000590097106391
202012_s_at,EXT2,EXT2,0.0005900928043994
209196_at,WDR46,WDR46,0.000588785574514
212837_at,FAM175B,FAM175B,0.0005845077486923
204260_at,CHGB,CHGB,0.0005796450903395
1558118_at,DGCR5|LOC100287576,DGCR5|LOC100287576,0.000578697978034
202975_s_at,RHOBTB3,RHOBTB3,0.0005750653297369
206562_s_at,CSNK1A1,CSNK1A1,0.0005743886222826
202443_x_at,NOTCH2,NOTCH2,0.0005653919958497
237444_at,KIF13A,KIF13A,0.000562552968283
215383_x_at,SPG21,SPG21,0.0005595720069404
206483_at,LRRC6,LRRC6,0.0005537606891626
208999_at,SEPT8,SEPT8,0.0005527049013842
242609_x_at,,242609_x_at,0.0005523707181555
221432_s_at,SLC25A28,SLC25A28,0.0005508794470851
200027_at,NARS,NARS,0.0005506841006117
222983_s_at,PAIP2,PAIP2,0.0005503557289271
222005_s_at,GNG3,GNG3,0.0005440989279362
238584_at,IQCA1,IQCA1,0.0005432989358889
205325_at,PHYHIP,PHYHIP,0.0005411639293642
231271_x_at,NMRAL1,NMRAL1,0.0005398861136944
239035_at,MTHFR,MTHFR,0.0005389690002196
224187_x_at,HSPA8|SNORD14C|SNORD14D,HSPA8|SNORD14C|SNORD14D,0.0005346667801764
233152_x_at,,233152_x_at,0.0005318931286508
220260_at,TBC1D19,TBC1D19,0.0005283236101091
210448_s_at,P2RX5,P2RX5,0.0005221345162688
222809_x_at,CCDC85C,CCDC85C,0.0005192580877814
201232_s_at,PSMD13,PSMD13,0.0005166571309892
224680_at,TMED4,TMED4,0.0005163129219195
224851_at,CDK6,CDK6,0.0005145382308593
202120_x_at,AP2S1,AP2S1,0.0005143057299217
222780_s_at,BAALC,BAALC,0.00051379928017
208121_s_at,PTPRO,PTPRO,0.000511335060378
203122_at,TRAPPC12,TRAPPC12,0.0005106138653998
233816_at,,233816_at,0.000507919451242
201217_x_at,RNU86|RPL3|SNORD83B,RNU86|RPL3|SNORD83B,0.0005062291829621
222132_s_at,AGK,AGK,0.0005048538676956
204094_s_at,TSC22D2,TSC22D2,0.0005019829928568
57082_at,LDLRAP1,LDLRAP1,0.0005013953003201
213789_at,EBP,EBP,0.0004940065823946
215116_s_at,DNM1,DNM1,0.0004937218264551
242673_at,,242673_at,0.0004934253773014
1558739_at,LOH12CR1,LOH12CR1,0.0004900508043237
203723_at,ITPKB,ITPKB,0.0004896749456614
210130_s_at,TM7SF2,TM7SF2,0.000487308638658
224871_at,TPRG1L,TPRG1L,0.0004857623897859
206621_s_at,EIF4H,EIF4H,0.0004817938452853
207504_at,CA7,CA7,0.0004812521478725
212491_s_at,DNAJC8,DNAJC8,0.0004796329169052
214736_s_at,ADD1,ADD1,0.0004755226294
238058_at,PRR34-AS1,PRR34-AS1,0.0004749831885155
214671_s_at,ABR,ABR,0.0004735791839621
212432_at,GRPEL1,GRPEL1,0.0004732034961052
230411_at,UBE2V2,UBE2V2,0.000472793777938
201173_x_at,NUDC,NUDC,0.0004726643309409
1556364_at,ADAMTS9-AS2,ADAMTS9-AS2,0.0004717284400002
209093_s_at,GBA|GBAP1,GBA|GBAP1,0.0004705338363535
204823_at,NAV3,NAV3,0.0004692071853861
211297_s_at,CDK7,CDK7,0.0004663209708235
