gene,gene_symbol,gene_label,mean_abs_shap
222064_s_at,AARSD1|PTGES3L|PTGES3L-AARSD1,AARSD1|PTGES3L|PTGES3L-AARSD1,0.0003233449067725
215385_at,,215385_at,0.0003216020138052
201214_s_at,PPP1R7,PPP1R7,0.0003206615698734
1553274_a_at,SNRNP48,SNRNP48,0.0003200915317936
225568_at,TMEM141,TMEM141,0.0003196131384036
209279_s_at,NSDHL,NSDHL,0.0003187063834168
207088_s_at,SLC25A11,SLC25A11,0.0003184208698635
207012_at,MMP16,MMP16,0.0003171659911025
201614_s_at,RUVBL1,RUVBL1,0.0003156719925633
241762_at,FBXO32,FBXO32,0.0003147534523659
37796_at,LRCH4|SAP25,LRCH4|SAP25,0.0003123653642179
210715_s_at,SPINT2,SPINT2,0.0003121210379075
217941_s_at,ERBB2IP,ERBB2IP,0.0003115546947421
