gene,gene_symbol,gene_label,F_score,p_value
201322_at,ATP5B,ATP5B,27.372084124494823,1.4385947101607702e-06
211386_at,MGC12488,MGC12488,27.333413199868986,1.4598905576012254e-06
222339_x_at,,222339_x_at,27.298533354337163,1.479376743336644e-06
200637_s_at,PTPRF,PTPRF,27.292271327394815,1.4829033492130688e-06
215179_x_at,PGF,PGF,27.28930565826122,1.4845765504240234e-06
226999_at,RNPC3,RNPC3,27.250933376251393,1.5064017357830713e-06
234723_x_at,,234723_x_at,27.248942339779507,1.5075431519483086e-06
233702_x_at,,233702_x_at,27.240245374011764,1.5125393631567378e-06
206766_at,ITGA10,ITGA10,27.2128670934253,1.528379041491164e-06
201047_x_at,RAB6A|WTH3DI,RAB6A|WTH3DI,27.198796930992938,1.5365855847746134e-06
202154_x_at,TUBB3,TUBB3,27.18492045229427,1.5447235519852367e-06
216745_x_at,,216745_x_at,27.178171746212676,1.5486973901437338e-06
201255_x_at,BAG6,BAG6,27.175104424061825,1.5505069940017669e-06
206275_s_at,MICAL2,MICAL2,27.170890414411033,1.5529966466773804e-06
224280_s_at,MTFR1L,MTFR1L,27.161942005905644,1.558297043795422e-06
208246_x_at,RP11-403P17.4,RP11-403P17.4,27.148746987571514,1.5661467950697296e-06
242319_at,DGKG,DGKG,27.09984338727723,1.5955960964362557e-06
1569302_at,KIAA1731,KIAA1731,27.065721785467147,1.6164806297737992e-06
209860_s_at,ANXA7,ANXA7,27.06426378196101,1.617379256031448e-06
229818_at,SVOP,SVOP,27.061634001613022,1.6190013948244437e-06
58780_s_at,ARHGEF40,ARHGEF40,27.042349999809225,1.63094766555616e-06
203909_at,SLC9A6,SLC9A6,27.042287183585337,1.630986727442576e-06
202041_s_at,FIBP,FIBP,27.040155448814975,1.6323129042616229e-06
227453_at,UNC13A,UNC13A,27.01818576959707,1.64604528077672e-06
232696_at,,232696_at,26.99027877346131,1.6636603371742646e-06
1555881_s_at,LZTS2,LZTS2,26.986548921137334,1.6660292854585591e-06
218664_at,MECR,MECR,26.98295652011641,1.6683142139377296e-06
222298_at,,222298_at,26.97650690055892,1.672424552595388e-06
210679_x_at,,210679_x_at,26.95370364136846,1.6870407550773286e-06
217546_at,MT1M,MT1M,26.938470898076105,1.6968776202196305e-06
242609_x_at,,242609_x_at,26.906211565105043,1.7179049912912132e-06
220578_at,ADAMTSL4,ADAMTSL4,26.861279199140338,1.747640441411126e-06
210028_s_at,ORC3,ORC3,26.859548461228197,1.7487963446652556e-06
212119_at,RHOQ,RHOQ,26.85823667917968,1.74967296480867e-06
224025_s_at,ATG7,ATG7,26.83030976239244,1.768443205773856e-06
223145_s_at,AKIRIN2,AKIRIN2,26.82396865201724,1.7727339690441563e-06
225240_s_at,MSI2,MSI2,26.814331123544378,1.779275793842356e-06
236484_at,,236484_at,26.79014982835014,1.7957992608664782e-06
229039_at,SYN2,SYN2,26.764560680988573,1.8134566834046384e-06
237560_at,MRPS5,MRPS5,26.758078901312892,1.8179576211472729e-06
222313_at,,222313_at,26.754688100363428,1.8203167638528829e-06
213629_x_at,MT1F,MT1F,26.73298770926435,1.8354895089750293e-06
215628_x_at,,215628_x_at,26.72320368280798,1.8423729096479093e-06
220467_at,,220467_at,26.63674910512175,1.9043626573733936e-06
241818_at,,241818_at,26.63565647634025,1.905159677173588e-06
215383_x_at,SPG21,SPG21,26.55105739718828,1.9679241349437966e-06
211297_s_at,CDK7,CDK7,26.54503186824791,1.972474849003967e-06
208941_s_at,SEPHS1,SEPHS1,26.519454380951803,1.9919127755947724e-06
200786_at,PSMB7,PSMB7,26.4917804971289,2.013165912440932e-06
241769_at,,241769_at,26.48617905258523,2.017496045892577e-06
205591_at,OLFM1,OLFM1,26.47981048525824,2.022430834110089e-06
202279_at,C14orf2,C14orf2,26.408625794324017,2.0784418984337487e-06
240139_at,,240139_at,26.39843234138133,2.0865921475136743e-06
203000_at,STMN2,STMN2,26.378422439869947,2.102686947072775e-06
211493_x_at,DTNA,DTNA,26.33211926171784,2.1404219979405483e-06
230923_at,FAM19A1,FAM19A1,26.326880483217906,2.144735011626117e-06
223460_at,CAMKK1,CAMKK1,26.323234151590786,2.1477422612640774e-06
221831_at,LUZP1,LUZP1,26.32184636773641,2.1488879514172987e-06
213333_at,MDH2,MDH2,26.292265540575027,2.1734585892660806e-06
1558831_x_at,,1558831_x_at,26.2861356800055,2.17858625985105e-06
212348_s_at,KDM1A,KDM1A,26.26959043534423,2.1924886804928023e-06
227556_at,NME7,NME7,26.247342143313176,2.2113271740829372e-06
212581_x_at,GAPDH,GAPDH,26.204842006768423,2.24777787569452e-06
219896_at,CALY,CALY,26.20326622695639,2.2491411817383777e-06
223088_x_at,ECHDC1,ECHDC1,26.199272994894496,2.252599787311618e-06
217817_at,ARPC4,ARPC4,26.186155896744552,2.2639992747904346e-06
219463_at,LAMP5,LAMP5,26.1829885427954,2.2667607646037588e-06
231327_at,,231327_at,26.154552913323187,2.2917083709390297e-06
201758_at,TSG101,TSG101,26.143165978373435,2.301777573130612e-06
239831_at,TMEM106C,TMEM106C,26.14217098565304,2.302659581227925e-06
242916_at,CNTRL,CNTRL,26.126128101471664,2.3169288333284346e-06
204823_at,NAV3,NAV3,26.10568065676431,2.3352476366811023e-06
218679_s_at,VPS28,VPS28,26.08231871977557,2.356359983981167e-06
209291_at,ID4,ID4,26.081073743082527,2.35749057315302e-06
208703_s_at,APLP2,APLP2,26.07292645841528,2.364903078114422e-06
219408_at,PRMT7,PRMT7,26.06895374964069,2.368526190625173e-06
1552507_at,KCNE4,KCNE4,26.052158085549397,2.383907053064819e-06
236081_at,SNCA,SNCA,26.04959960730145,2.3862590162852044e-06
201577_at,NME1,NME1,26.03163091439936,2.402844703867614e-06
243249_at,,243249_at,26.019488930157664,2.4141192448568816e-06
229961_x_at,YJEFN3,YJEFN3,26.01811894852686,2.4153947644454684e-06
200822_x_at,TPI1,TPI1,25.996966255237727,2.435177172009409e-06
242849_at,,242849_at,25.994394983736875,2.437593209254414e-06
208811_s_at,DNAJB6|TMEM135,DNAJB6|TMEM135,25.98309782960618,2.44823757538742e-06
236524_at,,236524_at,25.971337841897697,2.4593688303951632e-06
209014_at,MAGED1,MAGED1,25.968586552292575,2.4619805318793363e-06
224879_at,TMEM261,TMEM261,25.961235032728908,2.4689730731555987e-06
226377_at,NFIC,NFIC,25.952616056869307,2.4771972022575298e-06
215543_s_at,LARGE,LARGE,25.951187165833932,2.478563354512521e-06
234991_at,ZXDC,ZXDC,25.923314442982328,2.5053678242237483e-06
203605_at,SRP54,SRP54,25.922390210419927,2.506261724928482e-06
209953_s_at,CDC37,CDC37,25.90527836957866,2.522871380323299e-06
243498_at,,243498_at,25.90034360887298,2.5276823233020485e-06
1559496_at,PPA2,PPA2,25.896831976812862,2.53111159148329e-06
200801_x_at,ACTB,ACTB,25.89394514608199,2.533934296804991e-06
240112_at,,240112_at,25.89106813447947,2.5367506227336066e-06
200882_s_at,PSMD4,PSMD4,25.8743607472306,2.5531693590325183e-06
223857_x_at,EMC4,EMC4,25.857759220352484,2.5695923565767982e-06
217727_x_at,VPS35,VPS35,25.848176885730563,2.579121068044475e-06
225003_at,TMEM205,TMEM205,25.83792714126851,2.58935369487191e-06
239071_at,RBBP4,RBBP4,25.79414972558934,2.6335302916008277e-06
233039_at,,233039_at,25.788020096905857,2.6397774018209966e-06
1554287_at,TRIM4,TRIM4,25.78628456717705,2.6415489625848178e-06
49452_at,ACACB,ACACB,25.763925321077743,2.6644820855277763e-06
203159_at,GLS,GLS,25.74582117805036,2.683200892186648e-06
232288_at,LOC102724985|PDXDC1|PDXDC2P,LOC102724985|PDXDC1|PDXDC2P,25.735084118431693,2.694366344014175e-06
205514_at,ZNF415,ZNF415,25.73478427359682,2.694678837287463e-06
224187_x_at,HSPA8|SNORD14C|SNORD14D,HSPA8|SNORD14C|SNORD14D,25.73435942990879,2.6951216661109675e-06
214762_at,ATP6V1G2,ATP6V1G2,25.731586790169995,2.6980135205321363e-06
32099_at,SAFB2,SAFB2,25.72985860026296,2.6998176317035215e-06
201704_at,ENTPD6,ENTPD6,25.728026861178677,2.7017311958355913e-06
AFFX-HSAC07/X00351_3_at,ACTB,ACTB,25.717645054620263,2.7126031583289324e-06
