gene,gene_symbol,gene_label,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
1554473_at,SRGAP1,SRGAP1,0.0079698178881948,1430,0.0,1320,1375.0
204355_at,DHX30,DHX30,0.0059354090645583,1577,0.0,1174,1375.5
204723_at,SCN3B,SCN3B,0.0161175686338873,910,0.0,1842,1376.0
213333_at,MDH2,MDH2,0.0134706301267205,1056,0.0,1697,1376.5
201600_at,PHB2,PHB2,0.0049224877597101,1649,0.0,1106,1377.5
1554500_a_at,RGS7,RGS7,0.0078867509829392,1440,0.0,1319,1379.5
1568603_at,CADPS,CADPS,0.0097251989464047,1300,0.0,1460,1380.0
204488_at,DOLK,DOLK,0.0057646268159299,1590,0.0,1170,1380.0
215001_s_at,GLUL,GLUL,0.0130434046637813,1078,0.0,1685,1381.5
229830_at,,229830_at,0.0012805718683779,1922,0.0,847,1384.5
201441_at,COX6B1,COX6B1,0.0046808923630141,1677,0.0,1095,1386.0
212895_s_at,ABR,ABR,0.0122470976991734,1130,0.0,1643,1386.5
200882_s_at,PSMD4,PSMD4,0.008476521868375,1393,0.0,1381,1387.0
207877_s_at,NVL,NVL,0.01515781287241,964,0.0,1811,1387.5
1565620_at,AGAP4,AGAP4,0.0085301161456665,1384,0.0,1393,1388.5
201550_x_at,ACTB|ACTG1,ACTB|ACTG1,0.0048094851272556,1665,0.0,1113,1389.0
236946_at,,236946_at,0.002381003888593,1851,0.0,930,1390.5
229606_at,,229606_at,0.0005101843126,1962,0.0,823,1392.5
235592_at,,235592_at,0.0024970064596081,1846,0.0,939,1392.5
204977_at,DDX10,DDX10,0.0152506439280082,959,0.0,1829,1394.0
215116_s_at,DNM1,DNM1,0.0125465780886418,1108,0.0,1680,1394.0
214353_at,,214353_at,0.0122159470865454,1133,0.0,1656,1394.5
200006_at,PARK7,PARK7,0.0091007240989194,1347,0.0,1444,1395.5
237560_at,MRPS5,MRPS5,0.0020540375152583,1873,0.0,918,1395.5
214821_at,SLC25A4,SLC25A4,0.0118642549590973,1162,0.0,1629,1395.5
232551_at,SLC26A6,SLC26A6,4.103314621509683e-05,1996,0.0,802,1399.0
203724_s_at,RUFY3,RUFY3,0.004887996063482,1654,0.0,1147,1400.5
206089_at,NELL1,NELL1,0.0154286269205868,948,0.0,1855,1401.5
237868_x_at,,237868_x_at,0.0017563812942214,1894,0.0,911,1402.5
203459_s_at,VPS16,VPS16,0.0053843065872654,1618,0.0,1190,1404.0
201400_at,PSMB3,PSMB3,0.0039884453564891,1744,0.0,1067,1405.5
201463_s_at,TALDO1,TALDO1,0.0045544945373732,1687,0.0,1124,1405.5
206621_s_at,EIF4H,EIF4H,0.0138597938537678,1034,0.0,1781,1407.5
1554079_at,GALNT18,GALNT18,0.0073226592524941,1488,0.0,1328,1408.0
203415_at,PDCD6,PDCD6,0.0057406967155539,1592,0.0,1224,1408.0
214811_at,RIMBP2,RIMBP2,0.0114719583142508,1187,0.0,1630,1408.5
204684_at,NPTX1,NPTX1,0.0048579787146508,1658,0.0,1161,1409.5
1561850_at,LOC100133669,LOC100133669,0.0067848091635579,1526,0.0,1294,1410.0
202279_at,C14orf2,C14orf2,0.0036931315276626,1766,0.0,1054,1410.0
201266_at,TXNRD1,TXNRD1,0.0040705350110274,1739,0.0,1083,1411.0
213453_x_at,GAPDH,GAPDH,0.0125547898040936,1106,0.0,1719,1412.5
204270_at,SKI,SKI,0.0049456502235413,1646,0.0,1180,1413.0
210949_s_at,EIF3C|EIF3CL,EIF3C|EIF3CL,0.010782843676115,1237,0.0,1589,1413.0
213682_at,NUP50,NUP50,0.0129139656922347,1087,0.0,1740,1413.5
209177_at,NDUFAF3,NDUFAF3,0.0177791420884173,842,0.0,1987,1414.5
201993_x_at,HNRNPDL,HNRNPDL,0.0029327449883871,1816,0.0,1015,1415.5
200913_at,PPM1G,PPM1G,0.0080353519693863,1423,0.0,1408,1415.5
200001_at,CAPNS1,CAPNS1,0.0085244589078214,1386,0.0,1446,1416.0
201546_at,TRIP12,TRIP12,0.0042175267988298,1717,0.0,1115,1416.0
205348_s_at,DYNC1I1,DYNC1I1,0.0141228106720935,1016,0.0,1817,1416.5
1556420_s_at,YPEL2,YPEL2,0.0073687270437599,1483,0.0,1351,1417.0
201341_at,ENC1,ENC1,0.0037221726226125,1759,0.0,1075,1417.0
210367_s_at,PTGES,PTGES,0.0161908238865262,905,0.0,1930,1417.5
211594_s_at,MRPL9,MRPL9,0.0107111635117457,1242,0.0,1594,1418.0
205031_at,EFNB3,EFNB3,0.0142083668519604,1012,0.0,1826,1419.0
212491_s_at,DNAJC8,DNAJC8,0.0101150173771082,1276,0.0,1562,1419.0
1563455_at,SIK3,SIK3,0.0060498002646887,1570,0.0,1268,1419.0
236081_at,SNCA,SNCA,0.0007121701999781,1950,0.0,890,1420.0
230482_at,ST6GALNAC5,ST6GALNAC5,0.0002403617777892,1984,0.0,859,1421.5
200901_s_at,M6PR|PHC1,M6PR|PHC1,0.0075447990746812,1467,0.0,1379,1423.0
1554287_at,TRIM4,TRIM4,0.0067739709841386,1528,0.0,1322,1425.0
211025_x_at,COX5B,COX5B,0.0102959853593394,1266,0.0,1586,1426.0
215179_x_at,PGF,PGF,0.0117124522653463,1174,0.0,1678,1426.0
212581_x_at,GAPDH,GAPDH,0.0097385989772757,1298,0.0,1557,1427.5
211452_x_at,LRRFIP1,LRRFIP1,0.0100204299411444,1282,0.0,1573,1427.5
206118_at,STAT4,STAT4,0.0144252873763454,1002,0.0,1854,1428.0
215604_x_at,,215604_x_at,0.0089802847960722,1357,0.0,1502,1429.5
210600_s_at,GRK4,GRK4,0.0154531006856193,946,0.0,1914,1430.0
205047_s_at,ASNS,ASNS,0.0138093520115784,1038,0.0,1825,1431.5
1558118_at,DGCR5|LOC100287576,DGCR5|LOC100287576,0.0058071309837882,1588,0.0,1276,1432.0
213394_at,MAPKBP1,MAPKBP1,0.0117790316332287,1169,0.0,1695,1432.0
201758_at,TSG101,TSG101,0.0026329494404926,1838,0.0,1030,1434.0
213646_x_at,TUBA1B,TUBA1B,0.0122545389037088,1128,0.0,1741,1434.5
200978_at,MDH1,MDH1,0.0078685604681766,1442,0.0,1428,1435.0
201903_at,UQCRC1,UQCRC1,0.0024043552790353,1849,0.0,1021,1435.0
201825_s_at,SCCPDH,SCCPDH,0.0025898785458769,1842,0.0,1028,1435.0
1558426_x_at,ORAI2,ORAI2,0.0056452090955851,1599,0.0,1272,1435.5
212833_at,SLC25A46,SLC25A46,0.0093437121124268,1333,0.0,1540,1436.5
209860_s_at,ANXA7,ANXA7,0.0145930037256699,990,0.0,1886,1438.0
208732_at,RAB2A,RAB2A,0.0161218051141072,909,0.0,1967,1438.0
233313_at,,233313_at,0.0014572922857983,1914,0.0,963,1438.5
204100_at,THRA,THRA,0.0042013718867556,1721,0.0,1157,1439.0
1561107_at,,1561107_at,0.0059316843519592,1578,0.0,1301,1439.5
210638_s_at,FBXO9,FBXO9,0.0151193154574283,969,0.0,1913,1441.0
201837_s_at,SUPT7L,SUPT7L,0.0022499138964506,1857,0.0,1026,1441.5
212993_at,NACC2,NACC2,0.0117609709949295,1171,0.0,1714,1442.5
234107_s_at,DTD1,DTD1,0.0009982064860153,1942,0.0,943,1442.5
201047_x_at,RAB6A|WTH3DI,RAB6A|WTH3DI,0.0075910918297893,1465,0.0,1422,1443.5
200792_at,XRCC6,XRCC6,0.0073274131873188,1487,0.0,1400,1443.5
200065_s_at,ARF1|MIR3620,ARF1|MIR3620,0.0081645074749151,1419,0.0,1470,1444.5
1552482_at,RAPH1,RAPH1,0.0064186884401666,1550,0.0,1341,1445.5
213122_at,TSPYL5,TSPYL5,0.0115935678367469,1183,0.0,1708,1445.5
212432_at,GRPEL1,GRPEL1,0.0088958499473021,1363,0.0,1534,1448.5
208835_s_at,LUC7L3,LUC7L3,0.0154921765042506,942,0.0,1956,1449.0
211750_x_at,TUBA1C,TUBA1C,0.0100127732946868,1284,0.0,1617,1450.5
215284_at,,215284_at,0.0108260399474454,1232,0.0,1674,1453.0
212111_at,STX12,STX12,0.0092064651726382,1342,0.0,1564,1453.0
214737_x_at,HNRNPC,HNRNPC,0.0102069901290164,1270,0.0,1637,1453.5
1559589_a_at,,1559589_a_at,0.005678037090222,1596,0.0,1312,1454.0
201648_at,JAK1,JAK1,0.0029626279613192,1812,0.0,1099,1455.5
200966_x_at,ALDOA,ALDOA,0.007449455932467,1479,0.0,1433,1456.0
237107_at,PRKRA,PRKRA,0.0001407941235003,1989,0.0,924,1456.5
233449_at,,233449_at,0.0006231486250886,1955,0.0,959,1457.0
204587_at,SLC25A14,SLC25A14,0.0039301969230078,1749,0.0,1165,1457.0
1554595_at,SYMPK,SYMPK,0.0056297154179888,1601,0.0,1317,1459.0
234723_x_at,,234723_x_at,0.0012808767581196,1921,0.0,997,1459.0
200953_s_at,CCND2,CCND2,0.0073804087574783,1482,0.0,1436,1459.0
204260_at,CHGB,CHGB,0.0040746450500078,1737,0.0,1181,1459.0
209158_s_at,CYTH2,CYTH2,0.0156453039781259,929,0.0,1991,1460.0
203053_at,BCAS2,BCAS2,0.0047504562197063,1673,0.0,1248,1460.5
212177_at,PNISR,PNISR,0.0083770164657635,1402,0.0,1524,1463.0
233473_x_at,,233473_x_at,0.0004113405085918,1972,0.0,958,1465.0
212787_at,YLPM1,YLPM1,0.0085011886895704,1389,0.0,1542,1465.5
202070_s_at,IDH3A,IDH3A,0.0012458974883662,1924,0.0,1009,1466.5
215067_x_at,PRDX2,PRDX2,0.0106364959905303,1251,0.0,1682,1466.5
212641_at,HIVEP2,HIVEP2,0.0085414625591996,1383,0.0,1551,1467.0
201900_s_at,AKR1A1,AKR1A1,0.0014752864222428,1913,0.0,1022,1467.5
211424_x_at,METTL7A,METTL7A,0.0089432769610248,1361,0.0,1574,1467.5
200975_at,PPT1,PPT1,0.0071370081108344,1506,0.0,1429,1467.5
202077_at,NDUFAB1,NDUFAB1,0.0011811093117705,1929,0.0,1007,1468.0
209853_s_at,PSME3,PSME3,0.0135220847720819,1052,0.0,1887,1469.5
202144_s_at,ADSL,ADSL,0.0014919149597808,1911,0.0,1032,1471.5
209224_s_at,NDUFA2,NDUFA2,0.0151732101482439,963,0.0,1981,1472.0
202416_at,DNAJC7,DNAJC7,0.001634796283779,1905,0.0,1043,1474.0
200622_x_at,CALM1|CALM2|CALM3,CALM1|CALM2|CALM3,0.0076174144840023,1460,0.0,1491,1475.5
1554701_a_at,TBC1D16,TBC1D16,0.0056074813720111,1605,0.0,1347,1476.0
1553693_s_at,CBR4,CBR4,0.0053458390386957,1622,0.0,1332,1477.0
203333_at,KIFAP3,KIFAP3,0.0041299205736085,1729,0.0,1230,1479.5
201322_at,ATP5B,ATP5B,0.001918849036703,1885,0.0,1077,1481.0
200610_s_at,NCL,NCL,0.0075180741113013,1469,0.0,1495,1482.0
205489_at,CRYM,CRYM,0.01242332749729,1120,0.0,1847,1483.5
214011_s_at,NOP16,NOP16,0.0107052002348316,1243,0.0,1726,1484.5
200822_x_at,TPI1,TPI1,0.0059089796583709,1582,0.0,1389,1485.5
200695_at,PPP2R1A,PPP2R1A,0.0072371824090581,1497,0.0,1475,1486.0
1555278_a_at,CKAP5,CKAP5,0.0055161774143107,1611,0.0,1368,1489.5
201628_s_at,RRAGA,RRAGA,0.0019964191710474,1880,0.0,1102,1491.0
210408_s_at,CPNE6,CPNE6,0.0134856731597318,1054,0.0,1928,1491.0
204301_at,KBTBD11,KBTBD11,0.0031076693526848,1804,0.0,1179,1491.5
214864_s_at,GRHPR,GRHPR,0.0093922812759194,1329,0.0,1658,1493.5
1563130_a_at,,1563130_a_at,0.005444702137505,1612,0.0,1375,1493.5
208002_s_at,ACOT7,ACOT7,0.0116498647426614,1180,0.0,1810,1495.0
200813_s_at,PAFAH1B1,PAFAH1B1,0.0054378166229292,1613,0.0,1378,1495.5
212333_at,FAM98A,FAM98A,0.0073588478249662,1485,0.0,1508,1496.5
201976_s_at,MYO10,MYO10,5.142275653029583e-05,1995,0.0,1003,1499.0
204957_at,ORC5,ORC5,0.0117696517618987,1170,0.0,1830,1500.0
211047_x_at,AP2S1,AP2S1,0.0081887826030847,1416,0.0,1585,1500.5
201174_s_at,TERF2IP,TERF2IP,0.0038087785053443,1754,0.0,1250,1502.0
210252_s_at,MADD,MADD,0.013232409190115,1070,0.0,1935,1502.5
204247_s_at,CDK5,CDK5,0.0028485661519014,1823,0.0,1182,1502.5
204031_s_at,PCBP2,PCBP2,0.0020323612249655,1876,0.0,1131,1503.5
1569477_at,,1569477_at,0.0063373268330388,1554,0.0,1453,1503.5
1566079_at,RPS16P5,RPS16P5,0.0065398975821024,1540,0.0,1467,1503.5
203336_s_at,ITGB1BP1,ITGB1BP1,0.0034537335227629,1780,0.0,1229,1504.5
215600_x_at,FBXW12,FBXW12,0.0090665867818585,1353,0.0,1661,1507.0
212228_s_at,COQ9,COQ9,0.0070595512609427,1514,0.0,1503,1508.5
208851_s_at,THY1,THY1,0.0133329459591089,1063,0.0,1954,1508.5
202517_at,CRMP1,CRMP1,9.717709645881624e-06,1999,0.0,1018,1508.5
208682_s_at,MAGED2,MAGED2,0.0108869057169843,1227,0.0,1790,1508.5
202785_at,NDUFA7,NDUFA7,0.0030044299893813,1809,0.0,1209,1509.0
201529_s_at,RPA1,RPA1,0.0016744711119775,1902,0.0,1116,1509.0
1570210_x_at,PPP6R2,PPP6R2,0.0060056346839728,1572,0.0,1447,1509.5
203517_at,MTX2,MTX2,0.0022084325091644,1864,0.0,1156,1510.0
210715_s_at,SPINT2,SPINT2,0.0102158963057421,1269,0.0,1751,1510.0
200802_at,SARS,SARS,0.0052331180511603,1626,0.0,1396,1511.0
214715_x_at,ZNF160,ZNF160,0.0085460431507744,1382,0.0,1641,1511.5
202920_at,ANK2,ANK2,0.0027934703901268,1826,0.0,1198,1512.0
204795_at,PRR3,PRR3,0.0113214477536198,1193,0.0,1836,1514.5
1569661_at,NPAS3,NPAS3,0.0059305597120882,1579,0.0,1450,1514.5
212282_at,TMEM97,TMEM97,0.0068871850528563,1520,0.0,1510,1515.0
201635_s_at,FXR1,FXR1,0.0010884236964844,1932,0.0,1100,1516.0
202949_s_at,FHL2,FHL2,0.0026039119644313,1840,0.0,1193,1516.5
212423_at,ZCCHC24,ZCCHC24,0.0071684403980333,1502,0.0,1533,1517.5
210679_x_at,,210679_x_at,0.0123150540974959,1125,0.0,1911,1518.0
213512_at,C14orf79,C14orf79,0.009866277571878,1291,0.0,1747,1519.0
1568604_a_at,CADPS,CADPS,0.0059225015738478,1580,0.0,1459,1519.5
208680_at,PRDX1,PRDX1,0.0106410347561679,1250,0.0,1791,1520.5
215221_at,,215221_at,0.0088597000466942,1366,0.0,1677,1521.5
1559420_x_at,CACNB2,CACNB2,0.0037068212971135,1762,0.0,1282,1522.0
204992_s_at,PFN2,PFN2,0.0109852829569317,1217,0.0,1828,1522.5
1566785_x_at,NSF,NSF,0.0058217214857616,1587,0.0,1463,1525.0
212068_s_at,PRRC2B,PRRC2B,0.0076824731062162,1454,0.0,1596,1525.0
209556_at,NCDN,NCDN,0.0119498688232843,1156,0.0,1895,1525.5
203094_at,MAD2L1BP,MAD2L1BP,0.0030788781843238,1805,0.0,1246,1525.5
