gene,abs_coef,rank_abs_coef,importance_mean,rank_perm,rank_combined
226554_at,0.028105206160952592,444,0.0,226,335.0
220796_x_at,0.042069231227089776,191,0.0,484,337.5
225799_at,0.02755747703850981,459,0.0,219,339.0
223189_x_at,0.023392044739268345,613,0.0,70,341.5
224666_at,0.02138554794310895,678,0.0,6,342.0
238354_x_at,0.05080915057951329,101,0.0,587,344.0
226806_s_at,0.025186171986218003,537,0.0,152,344.5
223060_at,0.023524864532774574,607,0.0,82,344.5
220467_at,0.04191428499434467,196,0.0,497,346.5
224025_s_at,0.023283239280026388,615,0.0,80,347.5
243830_at,0.06622889925318119,42,0.0,654,348.0
240246_at,0.043553957120744814,175,0.0,524,349.5
218336_at,0.02788278333020496,449,0.0,258,353.5
228763_at,0.04087646375219095,208,0.0,500,354.0
227944_at,0.025327962313401505,532,0.0,176,354.0
238078_at,0.049318642514618455,119,0.0,591,355.0
224618_at,0.020841707501202764,700,0.0,10,355.0
218805_at,0.02943985012509574,417,0.0,296,356.5
220081_x_at,0.03696579977453711,268,0.0,446,357.0
224227_s_at,0.021163871341545955,686,0.0,28,357.0
218177_at,0.027983700196154454,447,0.0,269,358.0
222633_at,0.03489019119153727,303,0.0,416,359.5
223328_at,0.02366270305387846,602,0.0,120,361.0
220578_at,0.03961906884178579,229,0.0,494,361.5
240502_at,0.040713111496817264,209,0.0,519,364.0
217964_at,0.03068922172170296,383,0.0,346,364.5
223697_x_at,0.023072936839828775,623,0.0,106,364.5
241613_at,0.043717170541771475,172,0.0,557,364.5
244697_at,0.050781855543209,102,0.0,630,366.0
238009_at,0.04977832693927422,112,0.0,627,369.5
223628_at,0.022242967141076545,647,0.0,110,378.5
223059_s_at,0.021566303098869182,674,0.0,83,378.5
219365_s_at,0.03156296662593267,367,0.0,393,380.0
221155_x_at,0.03601627497663372,284,0.0,476,380.0
31874_at,0.05675927508440888,77,0.0,687,382.0
227082_at,0.023004024258680963,626,0.0,141,383.5
244433_at,0.04810436249825362,131,0.0,637,384.0
225111_s_at,0.019967304742156133,733,0.0,37,385.0
218456_at,0.026612018533817772,490,0.0,282,386.0
241228_at,0.039208743105160745,237,0.0,535,386.0
243178_at,0.07297310066203798,29,0.0,744,386.5
239035_at,0.04332485385911257,177,0.0,597,387.0
241036_at,0.03647969453337906,276,0.0,505,390.5
226938_at,0.02251012599833957,640,0.0,147,393.5
218609_s_at,0.026827228498184922,481,0.0,308,394.5
242573_at,0.05520452628727211,79,0.0,710,394.5
218354_at,0.025325348958678898,533,0.0,257,395.0
244610_x_at,0.04477821169237518,160,0.0,634,397.0
243031_at,0.06490275550794503,46,0.0,748,397.0
218897_at,0.02619513807881621,506,0.0,295,400.5
218120_s_at,0.025380176745326187,526,0.0,275,400.5
232140_at,0.06690204088854648,40,0.0,761,400.5
220459_at,0.0348551875986563,305,0.0,498,401.5
220615_s_at,0.03409881132691504,316,0.0,492,404.0
219778_at,0.032346527422555914,355,0.0,455,405.0
231506_at,0.07005044134239494,35,0.0,777,406.0
218205_s_at,0.024493197635669196,561,0.0,253,407.0
239474_at,0.04152773778482017,199,0.0,615,407.0
225094_at,0.018733698520679493,780,0.0,38,409.0
63009_at,0.04529832447604558,151,0.0,668,409.5
227196_at,0.02123061306196453,683,0.0,137,410.0
229715_at,0.10736971423434574,2,0.0,819,410.5
233039_at,0.0723473572289138,32,0.0,790,411.0
224879_at,0.01901690646357871,774,0.0,50,412.0
32099_at,0.046088480226635316,143,0.0,686,414.5
228613_at,0.021647485497896062,670,0.0,163,416.5
242040_at,0.035780769588972125,291,0.0,542,416.5
240038_at,0.03685741647886769,270,0.0,563,416.5
231311_at,0.061770081912356674,56,0.0,779,417.5
218625_at,0.025340326337770152,530,0.0,306,418.0
221263_s_at,0.03193705504939171,362,0.0,474,418.0
238017_at,0.05300770075880342,88,0.0,750,419.0
231735_s_at,0.05939044384780306,65,0.0,773,419.0
229677_at,0.07996537473825738,18,0.0,820,419.0
242609_x_at,0.04774157384976878,132,0.0,706,419.0
227882_at,0.021763607100701476,663,0.0,178,420.5
218377_s_at,0.023909881106097736,585,0.0,256,420.5
226644_at,0.023194635647231007,620,0.0,221,420.5
243203_at,0.050970093560296394,100,0.0,741,420.5
239497_at,0.03963267404768994,228,0.0,614,421.0
219019_at,0.024852758812465348,551,0.0,292,421.5
218133_s_at,0.024286538174035626,571,0.0,273,422.0
244350_at,0.041243346276742324,205,0.0,640,422.5
226433_at,0.02325756396598487,617,0.0,230,423.5
218500_at,0.024457737529863178,563,0.0,285,424.0
222396_at,0.029508537446643515,415,0.0,435,425.0
240544_at,0.03306414047193688,338,0.0,516,427.0
244669_at,0.03997677029802031,225,0.0,631,428.0
226779_at,0.020705422868402382,707,0.0,153,430.0
239559_at,0.03861496382387184,247,0.0,613,430.0
223673_at,0.019556164751860703,756,0.0,107,431.5
223340_at,0.019754398553998243,745,0.0,118,431.5
231887_s_at,0.05192638998916793,93,0.0,771,432.0
239831_at,0.03733361317892721,262,0.0,603,432.5
239866_at,0.03711480535053994,265,0.0,601,433.0
242319_at,0.038794634395550205,244,0.0,625,434.5
244753_at,0.04054320491878822,213,0.0,657,435.0
217814_at,0.026066681017844966,511,0.0,360,435.5
239096_at,0.03823191444841796,251,0.0,623,437.0
242646_at,0.04397060057500982,170,0.0,704,437.0
227022_at,0.019916091528246305,734,0.0,145,439.5
215962_at,0.024929311996632543,545,0.0,336,440.5
231016_s_at,0.05934535638875848,66,0.0,815,440.5
217398_x_at,0.02507660983309262,539,0.0,344,441.5
232696_at,0.05393585421973038,85,0.0,799,442.0
232028_at,0.04928989613207503,121,0.0,764,442.5
225878_at,0.02168036671453606,668,0.0,220,444.0
238350_at,0.03514262857811327,300,0.0,588,444.0
243233_at,0.04533447341780754,150,0.0,740,445.0
233031_at,0.051053858028898495,98,0.0,792,445.0
217786_at,0.025353673652097657,529,0.0,362,445.5
233057_at,0.05039612083466958,106,0.0,787,446.5
221893_s_at,0.02645152148785881,499,0.0,394,446.5
225912_at,0.022132171795897094,652,0.0,248,450.0
