gene,importance_mean,importance_std
230923_at,0.0,0.0
230742_at,0.0,0.0
230713_at,0.0,0.0
230656_s_at,0.0,0.0
230644_at,0.0,0.0
230629_s_at,0.0,0.0
230590_at,0.0,0.0
230496_at,0.0,0.0
230482_at,0.0,0.0
230411_at,0.0,0.0
230392_at,0.0,0.0
230326_s_at,0.0,0.0
230296_at,0.0,0.0
230272_at,0.0,0.0
230262_at,0.0,0.0
230258_at,0.0,0.0
230255_at,0.0,0.0
230150_at,0.0,0.0
230064_at,0.0,0.0
230006_s_at,0.0,0.0
229973_at,0.0,0.0
229961_x_at,0.0,0.0
229917_at,0.0,0.0
229905_at,0.0,0.0
233167_at,0.0,0.0
233216_at,0.0,0.0
237937_x_at,0.0,0.0
236000_s_at,0.0,0.0
236571_at,0.0,0.0
236524_at,0.0,0.0
236488_s_at,0.0,0.0
236484_at,0.0,0.0
236465_at,0.0,0.0
236462_at,0.0,0.0
236338_at,0.0,0.0
236302_at,0.0,0.0
236274_at,0.0,0.0
236139_at,0.0,0.0
236120_at,0.0,0.0
236081_at,0.0,0.0
236007_at,0.0,0.0
235990_at,0.0,0.0
233229_at,0.0,0.0
235954_at,0.0,0.0
235879_at,0.0,0.0
235850_at,0.0,0.0
235805_at,0.0,0.0
235803_at,0.0,0.0
235765_at,0.0,0.0
235757_at,0.0,0.0
235716_at,0.0,0.0
235694_at,0.0,0.0
235672_at,0.0,0.0
235645_at,0.0,0.0
235640_at,0.0,0.0
235606_at,0.0,0.0
236602_at,0.0,0.0
236610_at,0.0,0.0
236617_at,0.0,0.0
236645_at,0.0,0.0
237868_x_at,0.0,0.0
237832_at,0.0,0.0
237790_at,0.0,0.0
237768_x_at,0.0,0.0
237745_at,0.0,0.0
237628_at,0.0,0.0
237600_at,0.0,0.0
237560_at,0.0,0.0
237475_x_at,0.0,0.0
237452_at,0.0,0.0
237444_at,0.0,0.0
237361_at,0.0,0.0
237305_at,0.0,0.0
237107_at,0.0,0.0
237106_at,0.0,0.0
237072_at,0.0,0.0
237040_at,0.0,0.0
237018_at,0.0,0.0
236949_at,0.0,0.0
236946_at,0.0,0.0
236916_at,0.0,0.0
236901_at,0.0,0.0
236817_at,0.0,0.0
236808_at,0.0,0.0
236725_at,0.0,0.0
236715_x_at,0.0,0.0
236704_at,0.0,0.0
235601_at,0.0,0.0
235592_at,0.0,0.0
235567_at,0.0,0.0
234314_at,0.0,0.0
234122_at,0.0,0.0
234107_s_at,0.0,0.0
234086_at,0.0,0.0
233884_at,0.0,0.0
233869_x_at,0.0,0.0
233868_x_at,0.0,0.0
233842_x_at,0.0,0.0
233816_at,0.0,0.0
233775_x_at,0.0,0.0
233702_x_at,0.0,0.0
233700_at,0.0,0.0
233658_at,0.0,0.0
233611_at,0.0,0.0
233558_s_at,0.0,0.0
233547_x_at,0.0,0.0
233506_at,0.0,0.0
233473_x_at,0.0,0.0
233449_at,0.0,0.0
233393_at,0.0,0.0
233350_s_at,0.0,0.0
233319_x_at,0.0,0.0
233313_at,0.0,0.0
233308_at,0.0,0.0
233271_at,0.0,0.0
233246_at,0.0,0.0
233243_at,0.0,0.0
233241_at,0.0,0.0
234282_at,0.0,0.0
234505_at,0.0,0.0
235538_at,0.0,0.0
234562_x_at,0.0,0.0
235537_at,0.0,0.0
235507_at,0.0,0.0
235484_at,0.0,0.0
235396_at,0.0,0.0
235377_at,0.0,0.0
235376_at,0.0,0.0
235327_x_at,0.0,0.0
235225_at,0.0,0.0
235213_at,0.0,0.0
235154_at,0.0,0.0
235119_at,0.0,0.0
235112_at,0.0,0.0
235070_at,0.0,0.0
235066_at,0.0,0.0
235019_at,0.0,0.0
235009_at,0.0,0.0
234991_at,0.0,0.0
234989_at,0.0,0.0
234981_x_at,0.0,0.0
234969_s_at,0.0,0.0
234926_s_at,0.0,0.0
234906_at,0.0,0.0
234788_x_at,0.0,0.0
234762_x_at,0.0,0.0
234723_x_at,0.0,0.0
234677_at,0.0,0.0
234594_at,0.0,0.0
215698_at,0.0,0.0
215645_at,0.0,0.0
215628_x_at,0.0,0.0
201976_s_at,0.0,0.0
202133_at,0.0,0.0
202120_x_at,0.0,0.0
202078_at,0.0,0.0
202077_at,0.0,0.0
202074_s_at,0.0,0.0
202070_s_at,0.0,0.0
202041_s_at,0.0,0.0
202021_x_at,0.0,0.0
202012_s_at,0.0,0.0
202000_at,0.0,0.0
201996_s_at,0.0,0.0
