gene,F_score,p_value
202975_s_at,20.663575230917125,2.0301411467119296e-05
226296_s_at,20.655222799623758,2.0371100048669926e-05
244669_at,20.654237476227767,2.0379337332106678e-05
201856_s_at,20.64403984552725,2.0464791043544696e-05
224709_s_at,20.643091002299304,2.0472760864869844e-05
218623_at,20.64101327678927,2.0490223912588105e-05
226912_at,20.635290417939473,2.0538403252604383e-05
213872_at,20.631407231320132,2.0571161269093555e-05
208742_s_at,20.630829948146367,2.057603574082613e-05
225330_at,20.63015403972157,2.0581744497524622e-05
AFFX-HUMGAPDH/M33197_M_at,20.625060213537285,2.0624819710630165e-05
200623_s_at,20.62136786167058,2.0656101587111136e-05
242390_at,20.612325151846655,2.073291861686071e-05
208936_x_at,20.605941344833255,2.0787325604361587e-05
212017_at,20.589993388081673,2.0923887955476857e-05
202675_at,20.58984829864776,2.0925134588325524e-05
200638_s_at,20.583907665035998,2.0976243249704095e-05
223708_at,20.574426077405423,2.1058082053428573e-05
204743_at,20.572046586814185,2.1078671812633407e-05
201522_x_at,20.570536868595962,2.1091746170596477e-05
208969_at,20.566574803121583,2.1126097911264966e-05
242377_x_at,20.547372806903176,2.129340042032409e-05
200906_s_at,20.543183086526053,2.13300854576285e-05
200960_x_at,20.541392380366297,2.13457846635033e-05
210418_s_at,20.53814680913519,2.1374269076484207e-05
203415_at,20.537351413773713,2.138125575009601e-05
209177_at,20.53149330655943,2.1432785283458276e-05
226770_at,20.530353323330438,2.1442827748234914e-05
236000_s_at,20.52098748776694,2.152551796490691e-05
220040_x_at,20.508478179926843,2.1636474167682567e-05
209382_at,20.50833687262973,2.163773090692451e-05
221829_s_at,20.502583019657795,2.168896763085103e-05
204365_s_at,20.501731628383247,2.1696559677569325e-05
218504_at,20.492935782121165,2.1775154590581534e-05
201266_at,20.490786596336182,2.179440308524105e-05
205277_at,20.48634497422789,2.1834238600283934e-05
200079_s_at,20.48144061594978,2.1878311371631044e-05
226751_at,20.468357685177672,2.1996329224425964e-05
218086_at,20.466535854125606,2.2012815437126766e-05
225878_at,20.46034787618652,2.206890710260922e-05
210404_x_at,20.452793308825076,2.213758598662442e-05
229917_at,20.4293601755912,2.2352021236475688e-05
236715_x_at,20.42849426905814,2.2359985958830588e-05
225900_at,20.42655927511291,2.2377794853497636e-05
209132_s_at,20.40530479467535,2.257437663238052e-05
224782_at,20.39681843255446,2.2653362662786732e-05
211373_s_at,20.39610221886103,2.266004176642765e-05
238747_at,20.39565518534966,2.2664211638385777e-05
230272_at,20.3930450137003,2.2688574772163827e-05
223020_at,20.375645123009072,2.2851674668928867e-05
201463_s_at,20.37312878862272,2.2875361568092185e-05
232120_at,20.372413565999867,2.288209875557768e-05
226879_at,20.355761424724534,2.3039536057092366e-05
1554863_s_at,20.34747508130462,2.3118294385104186e-05
226024_at,20.340142125039357,2.3188222407589943e-05
239167_at,20.33620724269901,2.322583573082536e-05
223109_at,20.335360926532847,2.3233933827981243e-05
239808_at,20.33120361042858,2.327375594957813e-05
1569129_s_at,20.325475666827856,2.3328737986471854e-05
212894_at,20.308183501375826,2.3495536949739542e-05
225741_at,20.304293437721913,2.3533229162809324e-05
235537_at,20.283876859118905,2.3732076323277646e-05
208781_x_at,20.276460192229298,2.380473869674345e-05
215020_at,20.275797853097483,2.381123888331815e-05
39313_at,20.264375582586055,2.392362493387481e-05
212377_s_at,20.254668315799805,2.4019566107097162e-05
200862_at,20.245297564805412,2.411255727778389e-05
213214_x_at,20.245054800039007,2.4114971288920224e-05
210589_s_at,20.243313181502398,2.4132296944437106e-05
222372_at,20.232031272484015,2.4244840549459436e-05
229520_s_at,20.22047757808594,2.4360655738226177e-05
220316_at,20.217641779736066,2.438916900867846e-05
203776_at,20.2151052179164,2.4414702651465004e-05
222633_at,20.210553493978207,2.4460590454784106e-05
223211_at,20.209944299767887,2.4466738728976525e-05
201267_s_at,20.20828302635989,2.448351317058706e-05
212411_at,20.1953418638433,2.4614590688457476e-05
210193_at,20.193748007217287,2.463078434494615e-05
204992_s_at,20.193363486412597,2.4634692736635136e-05
214359_s_at,20.188637983609183,2.468277644254987e-05
1568612_at,20.186539989119172,2.4704155272892376e-05
220642_x_at,20.183262344150123,2.473759307116375e-05
207730_x_at,20.180023493959116,2.4770680886004444e-05
236274_at,20.17938239185366,2.477723573243021e-05
1560199_x_at,20.17349622070846,2.483750151717958e-05
210460_s_at,20.17209415752045,2.4851878844978985e-05
215021_s_at,20.169829764785483,2.4875116955279467e-05
222064_s_at,20.16677056301163,2.4906547263332285e-05
233611_at,20.166396722961927,2.491039090805751e-05
1555419_a_at,20.165045124301365,2.4924292497586038e-05
242337_at,20.16063645039482,2.4969692569129868e-05
234107_s_at,20.157988909944415,2.4996997594499364e-05
241954_at,20.147078698529885,2.510984337346785e-05
218732_at,20.145010524928832,2.5131293860567963e-05
226876_at,20.135076508088222,2.523458991388654e-05
241745_at,20.13494767302558,2.523593243740583e-05
200750_s_at,20.133606456160276,2.524991293435454e-05
208640_at,20.133111889621212,2.525507018067085e-05
204228_at,20.123312755354092,2.535747771321537e-05
208137_x_at,20.120461186678913,2.5387358789556885e-05
213295_at,20.11635410313671,2.543045992947206e-05
204930_s_at,20.115300682795535,2.544152702282702e-05
1556420_s_at,20.09925859119237,2.561067743372109e-05
229973_at,20.09733539953059,2.5631033489911862e-05
1554510_s_at,20.094530268708183,2.566075433148264e-05
210550_s_at,20.09447607015724,2.5661328923831105e-05
1552482_at,20.090242437070746,2.5706253258331066e-05
225657_at,20.086383757703604,2.5747269409831276e-05
214890_s_at,20.084763426839114,2.5764512940842266e-05
234282_at,20.078591014015245,2.583030867720234e-05
226899_at,20.077277647738377,2.5844331012884202e-05
233842_x_at,20.061083255833235,2.60178784548344e-05
220609_at,20.059398779494348,2.603599895956428e-05
208248_x_at,20.05439969015766,2.6089852493703844e-05
224156_x_at,20.042675790432856,2.6216600709698087e-05
240018_at,20.036896934812642,2.6279309668268777e-05
202429_s_at,20.03018209932646,2.635236946502253e-05
210213_s_at,20.028855181259615,2.6366831543637853e-05
228301_x_at,20.02233242852402,2.643804197425915e-05
215161_at,20.017917961583503,2.6486348125436454e-05
200066_at,20.01686828931595,2.6497847738190326e-05
216609_at,19.98876354848792,2.680766711997897e-05
230482_at,19.987389988938475,2.6822904178393244e-05
200789_at,19.973206050835408,2.698077094525303e-05
203173_s_at,19.972698786568557,2.6986434472850745e-05
238883_at,19.972173042378394,2.699230561822024e-05
210027_s_at,19.97014792358027,2.701493303333014e-05
232614_at,19.969646840435235,2.7020534838719698e-05
201880_at,19.966989004955323,2.7050267836518043e-05
215069_at,19.950650972386416,2.7233781936109678e-05
239886_at,19.947705061714707,2.7267007583795657e-05
222887_s_at,19.94555981655541,2.729122914397023e-05
202283_at,19.942405379763297,2.7326885558189765e-05
1558118_at,19.940535490139276,2.7348044646226616e-05
226246_at,19.939287141944174,2.7362179958364914e-05
239121_at,19.935940462939843,2.7400112259752572e-05
215341_at,19.933562171414682,2.7427101475976778e-05
1557286_at,19.933370069968166,2.7429282667479028e-05
220979_s_at,19.932711113398838,2.7436766063985945e-05
222902_s_at,19.93082628653264,2.745818258762832e-05
221792_at,19.93010347426235,2.7466400177720423e-05
205572_at,19.92159443597492,2.7563329356939762e-05
200812_at,19.919017022671742,2.7592758970292016e-05
1007_s_at,19.911093142848813,2.768343888351514e-05
216308_x_at,19.90839734647218,2.771435918197081e-05
235954_at,19.9069668431564,2.773078124170025e-05
204343_at,19.906309305099565,2.773833308636784e-05
221923_s_at,19.901098976658886,2.7798248817222092e-05
202942_at,19.900196214767668,2.7808643593346936e-05
200085_s_at,19.87926309484889,2.805080235687125e-05
205899_at,19.872684632257332,2.812735114264266e-05
232011_s_at,19.8657453960667,2.8208331220759497e-05
222160_at,19.858937770527884,2.8288008799594206e-05
208714_at,19.843802656825375,2.846598441207164e-05
1553107_s_at,19.83651276565348,2.8552118283220306e-05
204260_at,19.83325440930211,2.859070423709545e-05
229663_at,19.827691423246236,2.8656706153063352e-05
211500_at,19.823466261178307,2.8706940345889567e-05
207093_s_at,19.81556765086791,2.8801092672332753e-05
1554770_x_at,19.810781125035504,2.8858303330780965e-05
219203_at,19.805581687971312,2.8920581947006976e-05
221488_s_at,19.79773398701502,2.9014843641563845e-05
200816_s_at,19.78398669336804,2.918073107229979e-05
230064_at,19.776743979100754,2.9268520930993795e-05
223461_at,19.773143685168517,2.9312261739212257e-05
203392_s_at,19.766722431450443,2.9390442267774878e-05
205376_at,19.764097972927427,2.9422457577665934e-05
240038_at,19.76001727022766,2.947230872756344e-05
208999_at,19.760015461696536,2.947233084042762e-05
220081_x_at,19.759240541064553,2.9481807348071177e-05
200001_at,19.754809722225332,2.953605216452662e-05
202852_s_at,19.74329915797099,2.9677452587379412e-05
212270_x_at,19.740292958016465,2.9714496676148655e-05
217867_x_at,19.738891001938597,2.9731788651397274e-05
201527_at,19.737908581288654,2.97439121788857e-05
212859_x_at,19.737300635800683,2.975141705937778e-05
235672_at,19.726200263165527,2.988879088063658e-05
211609_x_at,19.72557990645408,2.9896487421551322e-05
228774_at,19.71086329176999,3.0079671062109585e-05
208682_s_at,19.70498521029605,3.01531606893716e-05
238658_at,19.704419238516895,3.0160246401599573e-05
200068_s_at,19.693228128552462,3.030070688915865e-05
213079_at,19.682637677659006,3.0434249058851275e-05
1557394_at,19.681387140134426,3.045005790621521e-05
1554251_at,19.67535991194198,3.0526370688038545e-05
1568408_x_at,19.672686297369456,3.0560285283450636e-05
232027_at,19.666834009225834,3.063465664218425e-05
232753_at,19.65873819755146,3.073784636180157e-05
218133_s_at,19.656133447543535,3.077112274734989e-05
200813_s_at,19.65372829515303,3.080188217310419e-05
242040_at,19.653367029187223,3.080650512869837e-05
208758_at,19.652555020988554,3.081689863575494e-05
